Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Canara Bank,Financial Services,CANBK,EQ,INE476A01014
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01012
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
